customer_id,company_name,contact_name,email,phone,address,city,postal_code,country,customer_since,credit_limit,payment_terms,department
C074fd1fe,Warmer AG,Herr Wolf-Dietrich Klapp B.Eng.,kaestermichelle@jungfer.com,07449 68001,Silvia-Hübel-Gasse 6/9,Bad Liebenwerda,98886,Deutschland,2023-05-22,50000.0,Immediate,IT
Cc8eece15,Gute,Therese Lübs,waltermahmut@junken.net,+49(0)7365 59823,Trübgasse 01,Klötze,27174,Deutschland,2020-11-06,10000.0,Immediate,HR
Ce17b4857,Weinhage Baum Stiftung & Co. KG,Apostolos Biggen,,,Gudegasse 35,Gerolzhofen,28992,Deutschland,2020-04-10,,Immediate,Produktion
Ca5f4ad0f,Lange,Adele Blümel B.Eng.,hans-wolfgang12@adolph.net,04449361509,Edith-Killer-Gasse 5/3,Apolda,13347,Deutschland,2022-07-26,25000.0,Net60,Produktion
C0b362343,Trubin Trapp AG & Co. KGaA,Arnold Dobes,,,Mohauptallee 575,Bayreuth,69313,Deutschland,2021-09-09,,Net60,Einkauf
C18de9483,Gutknecht Seidel GmbH & Co. OHG,Yasmin Paffrath B.Eng.,,,Änne-Finke-Gasse 846,Böblingen,23001,Deutschland,2023-09-12,,Immediate,HR
C80d63928,Huhn Löchel GmbH & Co. OHG,Ing. Horst-Günter Jüttner B.Sc.,heinz-walterstolze@reising.com,+49(0)5493884291,Hansjörg-Ring-Allee 8/6,Burglengenfeld,25754,Deutschland,2019-11-17,5000.0,Net45,Produktion
Ca0780042,Möchlichen Peukert GmbH & Co. KG,Prof. Mattias Römer,vwulf@roskoth.de,07918559862,Knappeplatz 21,Crailsheim,42877,Deutschland,2022-05-08,100000.0,Net45,Einkauf
C5faf8fa4,Wilmsen AG & Co. KG,Univ.Prof. Josephine Sölzer B.Eng.,h-dieter64@junken.com,02105 87845,Margrafring 4,Eisleben,58853,Deutschland,2021-12-02,25000.0,Immediate,Produktion
Ccb63ede4,Kitzmann KG,Dennis Preiß,pdrub@bruder.org,+49 (0) 8025 008281,Isabel-Fischer-Gasse 4,Göttingen,82330,Deutschland,2024-06-03,25000.0,Net60,Finanzen
C3eb6018e,Ruppert Gierschner AG,Ing. Silke Gerlach,,,Ian-Schmiedt-Ring 318,Hechingen,54916,Deutschland,2020-05-13,,Immediate,Einkauf
C14fe74cd,Röhrdanz,Dipl.-Ing. Suzanne Wende,mnerger@trupp.org,(07263) 11553,Carlos-Hettner-Gasse 679,Gerolzhofen,87323,Deutschland,2020-06-10,100000.0,Net60,HR
